PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON
TJ Leaf,1610612754,1628388,2019
Solomon Hill,1610612763,203524,2019
Jae Crowder,1610612763,203109,2019
Jaren Jackson Jr.,1610612763,1628991,2019
Dillon Brooks,1610612763,1628415,2019
Tyus Jones,1610612763,1626145,2019
De'Anthony Melton,1610612763,1629001,2019
Grayson Allen,1610612763,1628960,2019
Bruno Caboclo,1610612763,203998,2019
Marko Guduric,1610612763,1629741,2019
Kyle Anderson,1610612763,203937,2019
Brandon Clarke,1610612763,1629634,2019
Jonas Valanciunas,1610612763,202685,2019
Yuta Watanabe,1610612763,1629139,2019
Eric Paschall,1610612744,1629672,2019
Kevon Looney,1610612744,1626172,2019
Willie Cauley-Stein,1610612744,1626161,2019
Glenn Robinson III,1610612744,203922,2019
Alec Burks,1610612744,202692,2019
Ky Bowman,1610612744,1629065,2019
Marquese Chriss,1610612744,1627737,2019
Jordan Poole,1610612744,1629673,2019
Omari Spellman,1610612744,1629016,2019
Jacob Evans,1610612744,1628980,2019
Draymond Green,1610612744,203110,2019
De'Andre Hunter,1610612737,1629631,2019
Jabari Parker,1610612737,203953,2019
Damian Jones,1610612737,1627745,2019
DeAndre' Bembry,1610612737,1627761,2019
Trae Young,1610612737,1629027,2019
Vince Carter,1610612737,1713,2019
Alex Len,1610612737,203458,2019
Cam Reddish,1610612737,1629629,2019
Evan Turner,1610612737,202323,2019
Tyrone Wallace,1610612737,1627820,2019
Bruno Fernando,1610612737,1628981,2019
Brandon Goodwin,1610612737,1629164,2019
Chandler Parsons,1610612737,202718,2019
Jimmy Butler,1610612748,202710,2019
Bam Adebayo,1610612748,1628389,2019
Meyers Leonard,1610612748,203086,2019
Duncan Robinson,1610612748,1629130,2019
Kendrick Nunn,1610612748,1629134,2019
Goran Dragic,1610612748,201609,2019
Justise Winslow,1610612748,1626159,2019
Chris Silva,1610612748,1629735,2019
Tyler Herro,1610612748,1629639,2019
Kelly Olynyk,1610612748,203482,2019
Derrick Jones Jr.,1610612748,1627884,2019
Udonis Haslem,1610612748,2617,2019
James Johnson,1610612748,201949,2019
Joe Harris,1610612751,203925,2019
Taurean Prince,1610612751,1627752,2019
Jarrett Allen,1610612751,1628386,2019
Garrett Temple,1610612751,202066,2019
Spencer Dinwiddie,1610612751,203915,2019
Dzanan Musa,1610612751,1629058,2019
DeAndre Jordan,1610612751,201599,2019
Iman Shumpert,1610612751,202697,2019
David Nwaba,1610612751,1628021,2019
Theo Pinson,1610612751,1629033,2019
Nicolas Claxton,1610612751,1629651,2019
Treveon Graham,1610612750,1626203,2019
Robert Covington,1610612750,203496,2019
Karl-Anthony Towns,1610612750,1626157,2019
Jarrett Culver,1610612750,1629633,2019
Andrew Wiggins,1610612750,203952,2019
Jeff Teague,1610612750,201952,2019
Josh Okogie,1610612750,1629006,2019
Shabazz Napier,1610612750,203894,2019
Keita Bates-Diop,1610612750,1628966,2019
Gorgui Dieng,1610612750,203476,2019
Jordan Bell,1610612750,1628395,2019
Naz Reid,1610612750,1629675,2019
Noah Vonleh,1610612750,203943,2019
Dorian Finney-Smith,1610612742,1627827,2019
Kristaps Porzingis,1610612742,204001,2019
Dwight Powell,1610612742,203939,2019
Tim Hardaway Jr.,1610612742,203501,2019
Luka Doncic,1610612742,1629029,2019
Delon Wright,1610612742,1626153,2019
Seth Curry,1610612742,203552,2019
Maxi Kleber,1610612742,1628467,2019
Jalen Brunson,1610612742,1628973,2019
Justin Jackson,1610612742,1628382,2019
Boban Marjanovic,1610612742,1626246,2019
J.J. Barea,1610612742,200826,2019
Courtney Lee,1610612742,201584,2019Nimaly aiwuhd,383827,98342,2019
Jude,01923,19834,2019
vivi,37y428,2327864,2019
